FID,the_geom,CATEGORY,NAME
power_towers.1,POINT (24.5172625 29.8101238),Government and Public Services,Power Tower
power_towers.2,POINT (24.5184319 29.8072193),Government and Public Services,Power Tower
power_towers.3,POINT (24.5194726 29.8126372),Government and Public Services,Power Tower
power_towers.4,POINT (24.5195638 29.8044078),Government and Public Services,Power Tower
power_towers.5,POINT (24.5206582 29.801694),Government and Public Services,Power Tower
power_towers.6,POINT (24.5214682 29.7997016),Government and Public Services,Power Tower
power_towers.7,POINT (24.5215379 29.8149831),Government and Public Services,Power Tower
power_towers.8,POINT (24.5226584 29.7967473),Government and Public Services,Power Tower
power_towers.9,POINT (24.5236193 29.8173521),Government and Public Services,Power Tower
power_towers.10,POINT (24.5239447 29.7935881),Government and Public Services,Power Tower
power_towers.11,POINT (24.5255174 29.7463348),Government and Public Services,Power Tower
power_towers.12,POINT (24.5257115 29.7484968),Government and Public Services,Power Tower
power_towers.13,POINT (24.5258717 29.790791),Government and Public Services,Power Tower
power_towers.14,POINT (24.5259542 29.7511812),Government and Public Services,Power Tower
power_towers.15,POINT (24.5261191 29.8202098),Government and Public Services,Power Tower
power_towers.16,POINT (24.5262358 29.7541438),Government and Public Services,Power Tower
power_towers.17,POINT (24.5265076 29.7570641),Government and Public Services,Power Tower
power_towers.18,POINT (24.52676 29.7599084),Government and Public Services,Power Tower
power_towers.19,POINT (24.5270075 29.7625758),Government and Public Services,Power Tower
power_towers.20,POINT (24.5273036 29.7658245),Government and Public Services,Power Tower
power_towers.21,POINT (24.5275852 29.7688456),Government and Public Services,Power Tower
power_towers.22,POINT (24.5278182 29.7879686),Government and Public Services,Power Tower
power_towers.23,POINT (24.527891 29.7721868),Government and Public Services,Power Tower
power_towers.24,POINT (24.5281919 29.7754689),Government and Public Services,Power Tower
power_towers.25,POINT (24.5283883 29.8227648),Government and Public Services,Power Tower
power_towers.26,POINT (24.5284783 29.7784686),Government and Public Services,Power Tower
power_towers.27,POINT (24.5287598 29.7816452),Government and Public Services,Power Tower
power_towers.28,POINT (24.5290705 29.7849059),Government and Public Services,Power Tower
power_towers.29,POINT (24.5308881 29.8255944),Government and Public Services,Power Tower
power_towers.30,POINT (24.5329159 29.8278794),Government and Public Services,Power Tower
